date,BTC_drawdown_pct,ETH_drawdown_pct,GOLD_drawdown_pct,ETF_drawdown_pct,EM_drawdown_pct,BOND_drawdown_pct
2024-07-31,-11.58,-32.85,-0.76,-2.19,-20.04,-39.06
2024-08-01,-10.57,-33.47,-1.1,-3.93,-21.43,-38.54
2024-08-02,-15.97,-37.95,-1.29,-5.62,-22.55,-36.62
2024-08-05,-26.12,-49.77,-2.55,-8.1,-24.75,-36.29
2024-08-06,-23.33,-48.91,-3.32,-7.47,-24.32,-37.71
2024-08-07,-24.71,-51.44,-3.39,-7.64,-23.85,-38.15
2024-08-08,-15.56,-44.24,-1.87,-5.7,-22.12,-38.53
2024-08-09,-16.7,-45.98,-1.63,-5.28,-21.69,-37.93
2024-08-12,-18.79,-43.38,0.0,-5.21,-21.43,-37.7
2024-08-13,-17.07,-43.81,-0.15,-3.75,-20.56,-37.27
2024-08-14,-19.63,-44.66,-0.97,-3.5,-20.98,-36.87
2024-08-15,-21.24,-46.59,-0.66,-1.96,-20.11,-37.38
2024-08-16,-19.42,-46.11,0.0,-1.62,-19.18,-37.17
2024-08-19,-18.6,-45.19,-0.16,-0.63,-18.4,-36.87
2024-08-20,-19.25,-46.53,0.0,-0.88,-19.03,-36.37
2024-08-21,-16.29,-45.32,-0.13,-0.37,-18.71,-36.33
2024-08-22,-17.38,-45.49,-1.33,-1.16,-19.72,-36.97
2024-08-23,-12.3,-42.55,-0.19,0.0,-18.38,-36.55
2024-08-26,-13.96,-44.28,0.0,-0.37,-19.07,-36.71
2024-08-27,-18.58,-48.91,0.0,-0.17,-18.96,-36.82
2024-08-28,-19.23,-47.46,-0.7,-0.72,-19.46,-36.9
2024-08-29,-18.74,-47.45,-0.19,-0.63,-19.42,-37.11
2024-08-30,-19.11,-47.51,-0.9,0.0,-19.25,-37.78
2024-09-03,-21.42,-49.7,-1.33,-1.91,-20.85,-36.76
2024-09-04,-20.68,-49.11,-1.27,-2.21,-20.87,-35.94
2024-09-05,-23.16,-50.8,-0.45,-2.33,-20.76,-35.58
2024-09-06,-26.18,-53.79,-1.18,-3.99,-22.21,-35.59
2024-09-09,-21.98,-50.99,-0.77,-3.0,-21.56,-35.31
2024-09-10,-21.12,-50.34,-0.33,-2.86,-21.86,-34.86
2024-09-11,-21.54,-51.38,-0.49,-2.01,-21.28,-34.91
2024-09-12,-20.46,-50.92,0.0,-1.15,-20.63,-35.21
2024-09-13,-17.12,-49.26,0.0,-0.66,-20.26,-35.04
2024-09-16,-20.38,-52.3,-0.01,-0.32,-20.0,-34.44
2024-09-17,-17.48,-51.34,-0.56,-0.42,-19.9,-34.76
2024-09-18,-15.64,-50.75,-1.33,-0.7,-20.18,-35.57
2024-09-19,-13.88,-48.78,0.0,0.0,-18.49,-35.78
