date,BTC_vol_30d,ETH_vol_30d,GOLD_vol_30d,ETF_vol_30d,EM_vol_30d,BOND_vol_30d
2019-12-27,48.63,54.66,7.2,6.61,10.27,12.49
2019-12-30,48.64,56.93,7.14,6.96,10.6,12.17
2019-12-31,48.36,56.77,7.07,6.78,10.46,12.49
2020-01-02,48.62,56.72,7.28,7.28,11.65,12.93
2020-01-03,51.26,59.62,8.06,7.82,13.19,13.48
2020-01-06,53.88,64.41,8.44,7.64,13.12,13.22
2020-01-07,53.93,60.32,8.15,7.71,13.09,13.18
2020-01-08,52.14,57.14,8.56,7.78,13.11,13.29
2020-01-09,52.33,56.87,8.62,7.66,12.98,13.3
2020-01-10,53.16,57.65,8.66,7.73,12.91,13.46
2020-01-13,51.9,57.06,8.84,7.91,13.43,13.46
2020-01-14,56.46,72.02,8.79,7.61,12.49,13.55
2020-01-15,53.44,70.84,8.83,7.24,12.87,13.11
2020-01-16,53.61,70.9,8.6,7.1,12.66,11.6
2020-01-17,53.62,71.48,8.55,6.97,12.62,11.5
2020-01-21,53.88,71.49,8.54,7.3,15.11,11.83
2020-01-22,53.97,71.58,7.8,7.08,15.17,11.74
2020-01-23,54.57,72.31,7.77,6.95,15.52,11.89
2020-01-24,54.19,72.13,7.84,7.51,15.8,12.08
2020-01-27,55.86,72.88,7.83,9.44,18.55,12.66
2020-01-28,57.2,73.22,8.33,9.48,18.0,11.84
2020-01-29,57.32,73.26,8.35,9.46,18.06,11.71
2020-01-30,54.94,69.85,8.35,9.24,18.39,11.3
2020-01-31,53.27,64.91,8.38,10.62,19.0,11.46
2020-02-03,47.17,62.47,8.75,10.81,19.25,11.08
2020-02-04,47.24,61.45,9.79,11.88,20.81,11.99
2020-02-05,48.49,64.12,9.79,12.16,20.88,12.54
2020-02-06,48.43,64.19,9.84,12.16,20.87,12.54
2020-02-07,48.25,64.67,9.57,12.34,21.23,12.93
2020-02-10,47.83,63.74,9.39,12.33,21.18,12.94
2020-02-11,48.35,64.41,9.48,12.4,21.52,13.09
2020-02-12,48.23,70.89,9.5,12.34,21.82,13.15
2020-02-13,48.11,69.62,9.59,12.44,22.15,12.7
2020-02-14,46.52,69.13,9.45,12.12,21.26,12.42
2020-02-18,45.86,69.47,9.41,11.88,20.68,11.85
2020-02-19,46.99,74.12,9.1,11.92,20.8,11.66
2020-02-20,45.24,74.18,9.1,12.03,21.27,11.61
2020-02-21,44.99,73.39,9.6,12.21,21.22,11.48
2020-02-24,44.12,72.84,9.55,15.69,23.51,12.01
2020-02-25,44.62,77.07,11.12,17.23,23.43,11.9
2020-02-26,47.93,83.16,10.82,17.03,23.01,12.02
2020-02-27,41.38,72.79,10.8,19.52,23.76,12.22
2020-02-28,41.54,72.81,15.43,19.61,23.74,13.44
2020-03-02,41.96,72.51,15.48,22.11,24.71,13.68
2020-03-03,41.5,72.9,17.87,22.88,24.58,13.61
2020-03-04,41.07,72.79,17.86,26.26,24.47,14.14
2020-03-05,42.33,72.64,18.76,27.51,24.84,15.43
2020-03-06,41.13,72.89,18.77,27.82,25.26,20.73
2020-03-09,56.65,90.49,18.74,34.72,31.44,21.62
2020-03-10,54.06,89.79,19.86,37.59,34.24,27.14
2020-03-11,51.63,90.07,19.68,39.84,36.32,29.46
2020-03-12,118.14,153.45,22.99,47.96,45.51,29.41
2020-03-13,124.19,162.57,24.63,53.33,51.04,30.33
2020-03-16,126.6,169.42,24.72,61.44,61.61,35.29
2020-03-17,127.72,168.79,25.06,64.77,65.39,40.84
2020-03-18,127.82,168.86,25.42,66.03,68.53,44.03
2020-03-19,138.96,176.75,25.92,65.95,68.57,44.54
2020-03-20,138.84,176.31,26.3,66.12,68.69,49.36
2020-03-23,139.39,175.64,29.44,66.12,68.8,50.46
2020-03-24,140.38,175.95,32.65,71.33,73.05,50.93
2020-03-25,139.77,174.92,32.92,72.02,73.89,50.89
